year_month,ortsteil,bezirk,kiez_premium,secondary_price_per_m2_eur,new_construction_price_per_m2_eur,kaltmiete_per_m2_monthly_eur,secondary_price_per_m2_usd,n_listings_secondary,n_listings_new_construction
2020-01,Mitte (Ort),Mitte,high,7389,9312,20.53,7980,22,48
2020-02,Mitte (Ort),Mitte,high,7585,9571,21.07,8192,64,20
2020-03,Mitte (Ort),Mitte,high,7489,9737,19.24,8088,118,44
2020-04,Mitte (Ort),Mitte,high,7400,9376,19.24,7992,158,22
2020-05,Mitte (Ort),Mitte,high,7386,9112,19.21,7977,73,29
2020-06,Mitte (Ort),Mitte,high,7555,9754,19.65,8159,42,48
2020-07,Mitte (Ort),Mitte,high,7763,9601,20.19,8384,151,34
2020-08,Mitte (Ort),Mitte,high,7272,9306,18.91,7854,168,5
2020-09,Mitte (Ort),Mitte,high,7352,9368,19.12,7941,129,34
2020-10,Mitte (Ort),Mitte,high,7972,10176,18.7,8609,19,43
2020-11,Mitte (Ort),Mitte,high,7893,9955,18.52,8524,107,47
2020-12,Mitte (Ort),Mitte,high,8589,10851,20.15,9277,157,16
2021-01,Mitte (Ort),Mitte,high,8230,10272,19.31,8888,37,37
2021-02,Mitte (Ort),Mitte,high,8449,10920,19.82,9125,167,32
2021-03,Mitte (Ort),Mitte,high,8308,10822,19.49,8973,138,39
2021-04,Mitte (Ort),Mitte,high,8678,11169,20.36,9373,73,40
2021-05,Mitte (Ort),Mitte,high,7777,9648,20.46,8399,148,8
2021-06,Mitte (Ort),Mitte,high,7759,9846,20.42,8379,19,37
2021-07,Mitte (Ort),Mitte,high,8183,9702,21.53,8838,153,11
2021-08,Mitte (Ort),Mitte,high,8496,10409,22.36,9176,27,30
2021-09,Mitte (Ort),Mitte,high,8574,10321,22.56,9260,164,12
2021-10,Mitte (Ort),Mitte,high,8397,10154,22.1,9069,133,10
2021-11,Mitte (Ort),Mitte,high,8240,10219,21.68,8899,162,26
2021-12,Mitte (Ort),Mitte,high,7941,10209,20.9,8577,61,34
2022-01,Mitte (Ort),Mitte,high,9600,12529,22.67,10368,164,9
2022-02,Mitte (Ort),Mitte,high,9583,11883,22.63,10350,117,43
2022-03,Mitte (Ort),Mitte,high,9640,12009,23.83,10411,152,45
2022-04,Mitte (Ort),Mitte,high,9906,12806,24.49,10699,56,31
2022-05,Mitte (Ort),Mitte,high,9533,12347,23.57,10295,105,32
2022-06,Mitte (Ort),Mitte,high,9252,11819,22.87,9993,35,42
2022-07,Mitte (Ort),Mitte,high,9264,11925,24.16,10005,136,39
2022-08,Mitte (Ort),Mitte,high,9432,11965,24.6,10186,122,14
2022-09,Mitte (Ort),Mitte,high,9267,11575,24.17,10009,26,20
2022-10,Mitte (Ort),Mitte,high,9534,12364,24.87,10297,159,41
2022-11,Mitte (Ort),Mitte,high,9456,12061,24.66,10212,32,40
2022-12,Mitte (Ort),Mitte,high,9204,12099,24.01,9940,104,11
2023-01,Mitte (Ort),Mitte,high,9405,11698,25.82,10158,33,18
2023-02,Mitte (Ort),Mitte,high,9205,11495,25.27,9941,152,37
2023-03,Mitte (Ort),Mitte,high,9295,11722,25.52,10039,117,10
2023-04,Mitte (Ort),Mitte,high,9569,12000,26.27,10335,62,47
2023-05,Mitte (Ort),Mitte,high,9273,11062,25.46,10015,82,49
2023-06,Mitte (Ort),Mitte,high,9474,12331,26.01,10232,137,34
2023-07,Mitte (Ort),Mitte,high,9014,11220,25.77,9735,131,11
2023-08,Mitte (Ort),Mitte,high,9142,11308,26.13,9873,57,19
2023-09,Mitte (Ort),Mitte,high,8945,11124,25.57,9660,121,12
2023-10,Mitte (Ort),Mitte,high,8956,11218,25.6,9672,53,5
2023-11,Mitte (Ort),Mitte,high,9117,11318,26.06,9846,90,23
2023-12,Mitte (Ort),Mitte,high,8790,10990,25.13,9493,40,23
2024-01,Mitte (Ort),Mitte,high,9080,11602,26.48,9806,26,37
2024-02,Mitte (Ort),Mitte,high,8615,11000,25.13,9304,26,27
2024-03,Mitte (Ort),Mitte,high,9245,11460,26.96,9985,31,36
2024-04,Mitte (Ort),Mitte,high,8761,10788,25.55,9461,75,3
2024-05,Mitte (Ort),Mitte,high,9138,11624,26.65,9869,65,41
2024-06,Mitte (Ort),Mitte,high,8947,11495,26.1,9663,51,5
2024-07,Mitte (Ort),Mitte,high,8607,11184,25.35,9296,176,13
2024-08,Mitte (Ort),Mitte,high,9078,11477,26.74,9805,64,42
2024-09,Mitte (Ort),Mitte,high,9483,11731,27.93,10241,79,7
2024-10,Mitte (Ort),Mitte,high,9384,12405,27.64,10135,159,4
2024-11,Mitte (Ort),Mitte,high,9373,11716,27.61,10123,174,43
2024-12,Mitte (Ort),Mitte,high,8979,11345,26.44,9697,169,29
2025-01,Mitte (Ort),Mitte,high,9116,11275,27.1,9845,72,38
2025-02,Mitte (Ort),Mitte,high,9598,12530,28.53,10366,126,36
2025-03,Mitte (Ort),Mitte,high,9307,11304,27.67,10052,82,43
2025-04,Mitte (Ort),Mitte,high,9252,11760,27.5,9992,74,39
2025-05,Mitte (Ort),Mitte,high,9430,11711,28.03,10184,79,32
2025-06,Mitte (Ort),Mitte,high,9829,12264,29.22,10616,120,15
2025-07,Mitte (Ort),Mitte,high,9559,11736,28.67,10324,154,45
2025-08,Mitte (Ort),Mitte,high,9873,12744,29.61,10663,71,42
2025-09,Mitte (Ort),Mitte,high,10014,12696,30.03,10815,152,22
2025-10,Mitte (Ort),Mitte,high,9559,11955,28.67,10324,163,39
2025-11,Mitte (Ort),Mitte,high,9421,11526,28.26,10175,32,43
2025-12,Mitte (Ort),Mitte,high,9529,12281,28.58,10291,54,34
2026-01,Mitte (Ort),Mitte,high,9825,12194,29.47,10611,82,26
2026-02,Mitte (Ort),Mitte,high,9663,12072,28.98,10436,20,3
2026-03,Mitte (Ort),Mitte,high,9729,12045,29.18,10508,47,8
2026-04,Mitte (Ort),Mitte,high,9356,12034,28.06,10105,36,36
2020-01,Tiergarten,Mitte,high,8345,9920,23.18,9012,52,44
2020-02,Tiergarten,Mitte,high,7599,9350,21.11,8207,130,18
2020-03,Tiergarten,Mitte,high,7970,10451,20.48,8608,175,49
2020-04,Tiergarten,Mitte,high,7827,10175,20.35,8453,170,11
2020-05,Tiergarten,Mitte,high,7781,9757,20.23,8403,176,5
